category,status,title,price,nickname,date,url
여성패션,판매,버베인 캐롤 구스다운 패딩 베이지,"90,000",민코코코,14:08,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335420?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=1
여성패션,판매,유메르 스커트,"10,000",KINFOLKYOU,14:08,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335401?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=1
여성패션,판매(안전),이세이미야케플리츠플리즈,"250,000",ㄴㅈ813,14:08,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335399?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=1
여성패션,판매,리앙쥬 썸머롤업자켓 + 핀턱 반바지,"145,000",Ggozhangzaeyung,14:08,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335395?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=1
여성패션,판매,시코리 하이웨스트 래쉬가드 수영복 L사이즈,"20,000",보라대보라,14:07,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335352?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=1
여성패션,판매,드레스반티아 (ITALY tweed) 돌체 래글런 트위드 자켓 새상품,"183,000",스리이니13,14:07,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335315?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=1
여성패션,판매(안전),시에 스커트 새상품,"40,000",trianglle,14:07,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335314?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,온러닝 스튜디오 브라탑 S사이즈 (새제품),"70,000",bettys,14:07,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335263?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,로드호야 변정수 반다나 자켓,"200,000",VeLLYWoN,14:07,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335249?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,여성 퀼팅 롱 패팅 점퍼 (M),"70,000",god bless uu,14:06,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335217?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,에토스 리버시블 트렌치코트 새상품 얼바닉30 더바넷,"230,000",만년옷장정리,14:06,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335182?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,(새제품) 랄프로렌 여성 카라 투포켓 긴팔 셔츠 (01),"50,000",god bless uu,14:06,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335178?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매(안전),이세이미야케플리츠플리즈,"250,000",ㄴㅈ813,14:06,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335147?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,잔느 제작원피스 팝니다,"15,000",nanauaa,14:05,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335116?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,(새상품) 안다르 올데이핏 브라(후크형) M 블랙,"26,000",도리토스중독,14:05,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335106?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,(새제품) GAP 갭 여성 터틀넥 스트라이프 (S),"30,000",god bless uu,14:05,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335095?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,잔느 택달린 새상품 원피스,"15,000",nanauaa,14:05,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335087?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,프랑스 꼼뜨와 데 꼬또니에 여성 빈티지 하프 자켓 (38),"80,000",god bless uu,14:05,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335070?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,루씨트빈 셔츠 원피스 팝니다 :),"60,000",nanauaa,14:05,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335058?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,포니테일 니트티,"50,000",은빈맘kjs,14:05,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335038?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,다비너스 원피스 새상품 블랙 팝니다,"40,000",nanauaa,14:05,https://cafe.naver.com/f-e/cafes/10050146/articles/1107335020?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매(안전),이세이미야케플리츠플리즈,"270,000",ㄴㅈ813,14:04,https://cafe.naver.com/f-e/cafes/10050146/articles/1107334949?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,OUNCE 온스 체크 셔츠,"23,000",Twwiy,14:04,https://cafe.naver.com/f-e/cafes/10050146/articles/1107334942?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,뱀버 초록 원피스,"32,000",지썬77,14:03,https://cafe.naver.com/f-e/cafes/10050146/articles/1107334889?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,(새제품) 폴로 랄프로렌 여성 벨티드 후드 니트 가디건 (S),"110,000",GodBless U,14:03,https://cafe.naver.com/f-e/cafes/10050146/articles/1107334875?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
여성패션,판매,프리메라 헬리녹스 플로깅백,"6,000",말캉이 메이킷,14:03,https://cafe.naver.com/f-e/cafes/10050146/articles/1107334852?boardtype=I&userDisplay=20&menuid=356&referrerAllArticles=false&page=2
