category,title,price,status,date,nickname,url
여성패션,망고매니플리즈 누엣 nuett 니트 쇼츠,"34,000원",판매,2025.06.02. 12:14,양사양바,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322448&referrerAllArticles=false
여성패션,얼바닉 30 스카시 펀칭 가디건 시에 유메르 아비에무아 낫띵리튼 렉토,"12,345원",판매,2025.06.02. 12:13,IliIiiIliI,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322418&referrerAllArticles=false
여성패션,지요 라다 리본 브로치,"120,000원",판매,2025.06.02. 12:13,쿨거래 꼭 합시다,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322355&referrerAllArticles=false
여성패션,시스템 스트라이프 원피스,"45,000원",판매,2025.06.02. 12:13,비치파라솔,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322331&referrerAllArticles=false
여성패션,지요 앙트와네트 핑크 원피스,"300,000원",판매,2025.06.02. 12:12,쿨거래 꼭 합시다,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322316&referrerAllArticles=false
여성패션,비마이매직 티셔츠,"100,000원",판매,2025.06.02. 12:12,이아이아이아오,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322268&referrerAllArticles=false
여성패션,에토스 ethos 몰드 자켓,"95,000원",판매,2025.06.02. 12:11,hongkongvibe,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322155&referrerAllArticles=false
여성패션,얼바닉30 사파리 스커트 xs,"210,000원",판매,2025.06.02. 12:10,374달달한,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322044&referrerAllArticles=false
여성패션,메비 이브 슬리브리스 니트 크림,"34,000원",판매,2025.06.02. 12:10,양사양바,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322038&referrerAllArticles=false
여성패션,SJSJ 바스락 스커트 55,"110,000원",판매(안전),2025.06.02. 12:10,도나쓰됴아,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322008&referrerAllArticles=false
여성패션,스탠드얼론 실크 점프수트,"385,000원",판매,2025.06.02. 12:10,ekwjd8048,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107321994&referrerAllArticles=false
여성패션,더로랑 스프링 아가일 니트 세트 (Spring argyle knit SET) - 버터 아이보리,"260,000원",판매(안전),2025.06.02. 12:10,베리또,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107321937&referrerAllArticles=false
여성패션,빈폴 레이디스 데님 롱원비스,"110,000원",판매,2025.06.02. 12:09,라온77,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107321899&referrerAllArticles=false
여성패션,maje 마쥬 트위드자켓 팝니다,"60,000원",판매,2025.06.02. 12:08,봉쥬르,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107321801&referrerAllArticles=false
여성패션,Verish 베리시 쿨핏 브라 오프숄더 M 새상품,"50,000원",판매,2025.06.02. 12:08,마밀,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107321754&referrerAllArticles=false
여성패션,위꼬모 패치 원피스 베이지 미듐 새상품,"120,000원",판매,2025.06.02. 11:34,주니요정,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=11&menuid=356&boardtype=L&articleid=1107317941&referrerAllArticles=false
여성패션,타임 티셧(66),"38,000원",판매(안전),2025.06.02. 11:33,alsrudEl,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=11&menuid=356&boardtype=L&articleid=1107317888&referrerAllArticles=false
여성패션,블랙업 후드집업 - 네이비,"23,000원",판매,2025.06.02. 11:33,비터스윗데이,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=11&menuid=356&boardtype=L&articleid=1107317878&referrerAllArticles=false
여성패션,"5프닝 브라렛 블랙, 오프닝 브라렛 레인","33,000원",판매,2025.06.02. 11:32,audrey501,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=11&menuid=356&boardtype=L&articleid=1107317810&referrerAllArticles=false
여성패션,썸제이청바지,"30,000원",판매,2025.06.02. 11:32,정리하자차근차근,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=11&menuid=356&boardtype=L&articleid=1107317802&referrerAllArticles=false
