category,title,price,status,date,nickname,url
여성패션,헬더 샤더블 포켓 트위드 원피스,"100,000원",판매,2025.06.02. 11:44,리이밈,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107319053&referrerAllArticles=false
여성패션,다이애그널 DIAGONAL 다우니 립드 니트 가디건-블루,"40,000원",판매,2025.06.02. 11:44,curation,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107319050&referrerAllArticles=false
여성패션,에피그램 여성 청바지/데님 팬츠,"65,000원",판매,2025.06.02. 11:44,영어떼기,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107319009&referrerAllArticles=false
여성패션,(새상품)르니앤멕코이 7부통바지 치마바지 플리츠바지 허리72,"25,000원",판매(안전),2025.06.02. 11:44,시나무야,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318990&referrerAllArticles=false
여성패션,쥬시쥬디 아노락 원피스,"50,000원",판매,2025.06.02. 11:44,체리111,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318969&referrerAllArticles=false
여성패션,빈폴 레이디스 롱 밴딩 훌 스커트 블랙/여성 롱치마,"65,000원",판매,2025.06.02. 11:44,영어떼기,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318963&referrerAllArticles=false
여성패션,새상품)유니클로 홀터넥브라탱크탑 M사이즈 팝니다,"19,900원",판매,2025.06.02. 11:43,쿠키쿠키킼,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318929&referrerAllArticles=false
여성패션,국산 고탄력 팬티스타킹 한봉당 만원,"10,000원",판매,2025.06.02. 11:43,유니온메이드,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318910&referrerAllArticles=false
여성패션,마인 팬츠(인하 끝),"70,000원",판매,2025.06.02. 11:43,칠라조아,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318906&referrerAllArticles=false
여성패션,캘빈클라인 청바지 25사이즈 판매합니다,"15,000원",판매,2025.06.02. 11:43,jh44,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318900&referrerAllArticles=false
여성패션,새상품 폴로 랄프로렌 오렌지 니트 걸즈XL,"60,000원",판매,2025.06.02. 11:43,너의세상에서,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318877&referrerAllArticles=false
여성패션,XL모노키니와랩스커트,"22,000원",판매,2025.06.02. 11:43,딸아들200점짜리맘,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318862&referrerAllArticles=false
여성패션,위꼬모 치앙마이 원피스 핑크 스몰 새상품,"80,000원",판매,2025.06.02. 11:42,주니요정,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318819&referrerAllArticles=false
여성패션,마더진 인사이더크롭 (연청) 25인치 6만원,"60,000원",판매,2025.06.02. 11:42,together14,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318777&referrerAllArticles=false
여성패션,자라 균일가 여러벌.. 새제품도 있어요,"25,000원",판매,2025.06.02. 11:42,애플 대왕,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107318769&referrerAllArticles=false
여성패션,정품) 새상품 발렌티노 빅 블랙 파우치 (코스메틱),"39,000원",판매,2025.06.02. 11:09,정리좀하고살자제발,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=11&menuid=356&boardtype=L&articleid=1107315027&referrerAllArticles=false
