category,title,price,status,date,nickname,url
여성패션,[새상품]폴로 랄프로렌 코치 자켓 베이지 xs,"180,000원",판매,2025.06.02. 12:14,콜록콜록123,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322534&referrerAllArticles=false
여성패션,[새상품] 폴로 랄프로렌 반팔 니트 린넨 정가 35만원,"143,000원",판매,2025.06.02. 12:14,콜록콜록123,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322466&referrerAllArticles=false
여성패션,망고매니플리즈 누엣 nuett 니트 쇼츠,"34,000원",판매,2025.06.02. 12:14,양사양바,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322448&referrerAllArticles=false
여성패션,얼바닉 30 스카시 펀칭 가디건 시에 유메르 아비에무아 낫띵리튼 렉토,"12,345원",판매,2025.06.02. 12:13,IliIiiIliI,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322418&referrerAllArticles=false
여성패션,지요 라다 리본 브로치,"120,000원",판매,2025.06.02. 12:13,쿨거래 꼭 합시다,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322355&referrerAllArticles=false
여성패션,시스템 스트라이프 원피스,"45,000원",판매,2025.06.02. 12:13,비치파라솔,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322331&referrerAllArticles=false
여성패션,지요 앙트와네트 핑크 원피스,"300,000원",판매,2025.06.02. 12:12,쿨거래 꼭 합시다,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322316&referrerAllArticles=false
여성패션,비마이매직 티셔츠,"100,000원",판매,2025.06.02. 12:12,이아이아이아오,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322268&referrerAllArticles=false
여성패션,에토스 ethos 몰드 자켓,"95,000원",판매,2025.06.02. 12:11,hongkongvibe,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322155&referrerAllArticles=false
여성패션,얼바닉30 사파리 스커트 xs,"210,000원",판매,2025.06.02. 12:10,374달달한,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322044&referrerAllArticles=false
여성패션,메비 이브 슬리브리스 니트 크림,"34,000원",판매,2025.06.02. 12:10,양사양바,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322038&referrerAllArticles=false
