category,title,price,status,date,nickname,url
여성패션,25상설 시스템 린넨 조니칼라 니트탑,"170,000원",판매,2025.06.02. 12:37,숭카,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107325065&referrerAllArticles=false
여성패션,금장 레이스카라 원피스(새상품),"20,000원",판매,2025.06.02. 12:37,핍스에비뉴,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107325047&referrerAllArticles=false
여성패션,타낫 tannat 퍼프 슬리브 원피스 24ver.,"140,000원",판매,2025.06.02. 12:37,lllllllIIIIllll,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107325033&referrerAllArticles=false
여성패션,잇미샤 자켓(거의새상품),"20,000원",판매,2025.06.02. 12:37,핍스에비뉴,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107325030&referrerAllArticles=false
여성패션,팔렛 갸또 네로 니트 베스트 아이보리 S,"8,500원",판매,2025.06.02. 12:36,mshg,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324979&referrerAllArticles=false
여성패션,orr오르 루 팬츠 블랙팝니다,"80,000원",판매,2025.06.02. 12:35,봉쥬르,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324909&referrerAllArticles=false
여성패션,칼라거펠트 카라 니트 탑 55 / 랑방 마인 오브제 타임 럭키슈에뜨 산드로 마쥬 오르 시에 시스템,"19,000원",판매,2025.06.02. 12:35,노을빛지는밤,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324849&referrerAllArticles=false
여성패션,랄프로렌 원피스,"59,000원",판매,2025.06.02. 12:34,lenahcㅡ,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324803&referrerAllArticles=false
여성패션,제주그꽃 드레스 4벌,"30,000원",판매,2025.06.02. 12:34,냥,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324787&referrerAllArticles=false
여성패션,에스닉 커브 핀턱 코튼 벌룬 팬츠 카키,"34,500원",판매,2025.06.02. 12:34,mshg,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324784&referrerAllArticles=false
