category,title,price,status,date,nickname,url
여성패션,모반디 오프숄더 블랙드레스 m(+부케),"65,000원",판매,2025.06.02. 12:20,kyh7090,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323172&referrerAllArticles=false
여성패션,로라홈 원피스 퍼프 쉬폰 써스데이아일랜드 스타일,"48,000원",판매(안전),2025.06.02. 12:20,markdaegi,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323164&referrerAllArticles=false
여성패션,(새상품) 리브레 니트,"20,000원",판매,2025.06.02. 12:20,오동통이랄까,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323162&referrerAllArticles=false
여성패션,에잇세컨즈 플라워 퍼프 블라우스,"19,000원",판매(안전),2025.06.02. 12:20,markdaegi,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323141&referrerAllArticles=false
여성패션,(새상품) 루즈핏 배색 맨투맨,"22,000원",판매,2025.06.02. 12:20,오동통이랄까,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323139&referrerAllArticles=false
여성패션,반팔 하객룩 블라우스,"22,000원",판매(안전),2025.06.02. 12:19,눈누슴,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323111&referrerAllArticles=false
여성패션,폴로 보이 시어서커 반팔 셔츠 L사이즈 새상품,"83,000원",판매,2025.06.02. 12:19,agajjoo,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323096&referrerAllArticles=false
여성패션,새상품)Le17septembre claire sheer top 버터. 얼바닉30 타낫 더바넷 낫띵리튼 킨더살몬 문달 아모멘토 시엔느 스무드무드 메이비베이비 르17셉템버,"65,000원",판매,2025.06.02. 12:19,하하잉,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323046&referrerAllArticles=false
여성패션,여성 언발 셔링 원피스(택포)네이비,"13,000원",판매,2025.06.02. 12:19,내친구 코리리,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323028&referrerAllArticles=false
여성패션,시에 sie 셀리나 하프 트위드 자켓,"210,000원",판매,2025.06.02. 12:19,ysy5347,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323006&referrerAllArticles=false
여성패션,* 디스커버리 익스페디션 경량 바람막이 ( 정 품 ) 남성용,"23,000원",판매,2025.06.02. 12:18,해피시은,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323001&referrerAllArticles=false
여성패션,(새상품) 마인 스커트 (한섬 타임 마인 랑방 오브제 오즈세컨 럭키슈에뜨),"58,000원",판매,2025.06.02. 12:18,커피 슝,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322991&referrerAllArticles=false
여성패션,크렘므 코리 벨트 데님 팔아요.,"23,000원",판매,2025.06.02. 12:18,dhxhkq7,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322966&referrerAllArticles=false
여성패션,55사이즈 나이스클랍 카키색상 롤업 바람막이 점퍼,"25,000원",판매,2025.06.02. 12:17,꾸꾸까까앙앙,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107322848&referrerAllArticles=false
