category,title,price,status,date,nickname,url
여성패션,자라 롱블라우스,"18,000원",판매,2025.06.02. 12:29,경기mum,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324211&referrerAllArticles=false
여성패션,톰보이 오버핏 롱 셔츠(원피스),"34,000원",판매,2025.06.02. 12:29,경기mum,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324182&referrerAllArticles=false
여성패션,"여성 핑골프웨어새제품,쿨후드자켓 새제품 ,플리츠주름셔츠 새제품66사이즈 새제품 등","20,000원",판매(안전),2025.06.02. 12:29,yeon13890,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324163&referrerAllArticles=false
여성패션,클로브 여성용 양말 3세트 & PKMT 양말 (새상품),"22,000원",판매,2025.06.02. 12:29,keline80,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324146&referrerAllArticles=false
여성패션,칙스라벨 베를린 벨루아 자켓 브라운 s사이즈,"150,000원",판매,2025.06.02. 12:29,아기아기맘,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324145&referrerAllArticles=false
여성패션,(새상품)리바이스 하이웨이스트 롱스커트 아이보리 S,"70,000원",판매,2025.06.02. 12:28,황금빛김부자,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324056&referrerAllArticles=false
여성패션,릴리코츠 뮤즈 레이어드 세트 새상품(택제거),"22,000원",판매,2025.06.02. 12:28,댕댕댕쓰,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107324011&referrerAllArticles=false
여성패션,럭키슈에뜨 스트라이프 긴팔 티셔츠 F / 랑방 마인 오브제 타임 럭키슈에뜨 산드로 마쥬 오르 시에 시스템,"35,000원",판매,2025.06.02. 12:27,arrte4,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323978&referrerAllArticles=false
여성패션,안나앤로즈 피로연 드레스,"65,000원",판매,2025.06.02. 12:27,kyh7090,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323953&referrerAllArticles=false
여성패션,렉토 스티치 셔츠 블라우스 F / 랑방 마인 오브제 타임 럭키슈에뜨 산드로 마쥬 오르 시에 시스템,"75,000원",판매,2025.06.02. 12:27,arrte4,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323921&referrerAllArticles=false
여성패션,여성 가디건 free,"10,000원",판매,2025.06.02. 12:27,피아노걸스,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323918&referrerAllArticles=false
여성패션,230 240쪼리 샌들 플랫슈즈 운동화 스틸레토,"7,000원",판매,2025.06.02. 12:26,haloyoyo,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107323865&referrerAllArticles=false
