category,title,price,status,date,nickname,url
여성패션,"""[BA&SH 바쉬] 핑크 짜임 브이넥 가디건 & 니트 뷔스티에 _ Summer Knit"" set 판매","130,000원",판매(안전),2025.06.02. 13:20,jinny7942,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329415&referrerAllArticles=false
여성패션,보세,"150,000원",판매,2025.06.02. 13:19,SNSDAY,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329408&referrerAllArticles=false
여성패션,그로브스토어 반팔니트,"50,000원",판매,2025.06.02. 13:18,벼룩합니당,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329375&referrerAllArticles=false
여성패션,마인 청바지,"100,000원",판매,2025.06.02. 13:20,옹뜹,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329363&referrerAllArticles=false
여성패션,시에 sie 제나 드레스 블랙 s,"100,000원",판매,날짜 정보 없음,뇽씽,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329309&referrerAllArticles=false
여성패션,"무배 새상품 S ,M 린넨 로브 코트 써스데이아일랜드 t194mct232w","50,000원",판매(안전),2025.06.02. 13:16,ㅇ 로즈마아리 ㅇ,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329296&referrerAllArticles=false
여성패션,새상품) 린(lynn) 핀턱 블라우스 55,"50,000원",판매,날짜 정보 없음,닉네임 없음,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329287&referrerAllArticles=false
여성패션,"자라(크로쉐니트,청바지)세컨케이반팔티","60,000원",판매,2025.06.02. 13:15,지염이,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329897&referrerAllArticles=false
여성패션,게스 청자켓 택포4만원,"40,000원",판매,2025.06.02. 13:14,Stevenlee,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329880&referrerAllArticles=false
여성패션,쥬시쥬디원피스,"70,000원",판매,2025.06.02. 13:15,지염이,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329826&referrerAllArticles=false
여성패션,시에 sie 제나 드레스 블랙 s,"100,000원",판매,2025.06.02. 13:20,뇽씽,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329758&referrerAllArticles=false
여성패션,여성 민소매블라우스 새거 화이트색상(77-88도가능),"23,000원",판매(안전),2025.06.02. 13:15,디오포포,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329756&referrerAllArticles=false
여성패션,스투시 다이스 블러쉬 딸기우유색 반팔,"110,000원",판매,2025.06.02. 13:13,웅구101,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329572&referrerAllArticles=false
여성패션,페이지유 오브엘 니트,"90,000원",판매,2025.06.02. 13:13,enffl,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329482&referrerAllArticles=false
여성패션,여름 원피스 쥬시 꾸띄르 원피스 2만원,"20,000원",판매,2025.06.02. 13:14,Stevenlee,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107329477&referrerAllArticles=false
여성패션,시에 sie 제나 슬리브리스 드레스 크림s,"120,000원",판매,2025.06.02. 13:20,뇽씽,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329477&referrerAllArticles=false
여성패션,시에 sie 제나 드레스 블랙 s,"100,000원",판매,2025.06.02. 13:20,뇽씽,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329454&referrerAllArticles=false
여성패션,아르켓 프린트 미니 드레스 36사이즈,"150,000원",판매,2025.06.02. 13:19,마나이리야,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329448&referrerAllArticles=false
여성패션,페이지유 오브엘 니트,"90,000원",판매,2025.06.02. 13:13,enffl,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=2&menuid=356&boardtype=L&articleid=1107329445&referrerAllArticles=false
여성패션,브라이드앤유 블라우스,"120,000원",판매,2025.06.02. 13:19,smile12u,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107330159&referrerAllArticles=false
여성패션,게스 청자켓 택포4만원,"40,000원",판매,날짜 정보 없음,닉네임 없음,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107330120&referrerAllArticles=false
여성패션,리코리타 반팔 베이직 자켓,"68,000원",판매,2025.06.02. 13:14,온뉴리맘,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107330077&referrerAllArticles=false
여성패션,안다르 레깅스,"10,000원",판매,2025.06.02. 13:14,잰머야,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107330043&referrerAllArticles=false
여성패션,루디아k청바지77 2사이즈,"48,000원",판매,2025.06.02. 13:13,멜로디,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107330028&referrerAllArticles=false
여성패션,새상품) 린(lynn) 핀턱 블라우스 55,"50,000원",판매,2025.06.02. 13:15,두 남자 사이,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&page=1&menuid=356&boardtype=L&articleid=1107330010&referrerAllArticles=false
